genre	object	where	when	light	lightDetail	ISO	aperture	exposure
пейзаж	море, озера, река	на улице	утро / день		солнечно	50	8	1/500
пейзаж	море, озера, река	на улице	утро / день		солнечно	50	11	1/250
пейзаж	море, озера, река	на улице	утро / день		солнечно	50	16	1/125
пейзаж	море, озера, река	на улице	утро / день		солнечно	100	11	1/500
пейзаж	море, озера, река	на улице	утро / день		солнечно	100	16	1/250
пейзаж	море, озера, река	на улице	утро / день		солнечно	160	11	1/500
пейзаж	море, озера, река	на улице	утро / день		солнечно	160	16	1/250
пейзаж	море, озера, река	на улице	утро / день		солнечно	200	16	1/250
пейзаж	море, озера, река	на улице	утро / день		солнечно	400		
пейзаж	море, озера, река	на улице	утро / день		солнечно	800		
пейзаж	море, озера, река	на улице	утро / день		солнечно	1600		
пейзаж	море, озера, река	на улице	утро / день		солнечно	3200		
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	50	2	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	50	2.8	1/200
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	50	4	1/125
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	100	2.8	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	160	2.8	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	160	4	1/250
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	200	2.8	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	200	4	1/250
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	400	4	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	800	iso 800 не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	1600	iso 1600 не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	в помещении	утро / день	свет из окна	солнечно	3200	iso 3200 не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	50	2	1/250
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	50	2.8	1/125
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	100	2	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	100	2.8	1/250
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	100	4	1/125
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	160	2	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	160	2.8	1/250
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	200	2.8	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	200	4	1/250
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	400	4	1/500
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	800	iso 800 не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	1600	iso 1600 не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	в помещении	утро / день	свет из окна	облачно	3200	iso 3200 не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	50	iso 50 не подходит для съемки при свете свечей или гирлянд	
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	100	iso 100 не подходит для съемки при свете свечей или гирлянд	
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	160	iso 160 не подходит для съемки при свете свечей или гирлянд	
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	200	iso 200 не подходит для съемки при свете свечей или гирлянд	
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	400	iso 400 не подходит для съемки при свете свечей или гирлянд	
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	800	2	1/125
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	1600	2	1/250
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	3200	2	1/500
портрет	человек или предмет	в помещении		свечи или гирлянды	свечи или гирлянды	3200	2.8	1/250
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	50	iso 50 не подходит для съемки при тусклом освещении	
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	100	iso 100 не подходит для съемки при тусклом освещении	
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	160	iso 160 не подходит для съемки при тусклом освещении	
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	200	2	1/125
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	400	2	1/250
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	400	2.8	1/125
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	800	2	1/500
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	800	2.8	1/250
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	800	4	1/125
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	1600	2	1/500
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	1600	2.8	1/250
портрет	человек или предмет	в помещении		лампа накаливания	лампа накаливания	3200	iso 3200 не подходит для съемки с ярким освещением	
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	50	iso 50 не подходит для съемки при свете диодной и люминисцентной ламп	
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	100	2	1/125
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	160	2	1/125
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	200	2	1/250
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	200	2.8	1/125
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	400	2	1/500
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	400	2.8	1/250
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	400	4	1/125
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	800	2.8	1/500
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	800	4	1/250
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	1600	4	1/500
портрет	человек или предмет	в помещении		лампа диодная или люминисцентная	лампа диодная или люминисцентная	3200	iso 3200 не подходит для съемки с ярким освещением	
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	50	iso 50 не подходит для съемки при недостатке света	
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	100	iso 100 не подходит для съемки при недостатке света	
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	160	iso 160 не подходит для съемки при недостатке света	
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	200	iso 200 не подходит для съемки при недостатке света	
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	400	iso 400 не подходит для съемки при недостатке света	
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	800	2	1/125
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	1600	2	1/250
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	3200	2	1/500
портрет	человек или предмет	в помещении		Смешанный свет (концерт, бар, парк аттракционов)	Смешанный свет (концерт, бар, парк аттракционов)	3200	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	50	2	1/500
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	50	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	50	4	1/125
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	100	2.8	1/500
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	100	4	1/250
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	160	3.5	1/500
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	160	4	1/250
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	200	4	1/500
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	400	Пленка не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	800	Пленка не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	1600	Пленка не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	на улице	утро / день	Солнечно	Солнечно	3200	Пленка не подходит для съемки солнечным утром или днем	
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	50	2	1/250
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	50	2.8	1/125
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	100	2	1/500
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	100	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	100	4	1/125
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	160	2	1/500
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	160	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	200	2.8	1/500
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	200	4	1/250
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	400	4	1/500
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	800	Пленка не подходит для съемки утром или днем	
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	1600	Пленка не подходит для съемки утром или днем	
портрет	человек или предмет	на улице	утро / день	Облачно	Облачно	3200	Пленка не подходит для съемки утром или днем	
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	50	Пленка не подходит для съемки в пасмурную погоду	
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	100	2	1/125
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	100	2	1/250
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	160	2.8	1/125
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	200	2	1/250
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	200	2.8	1/125
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	400	2	1/500
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	400	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	400	4	1/125
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	800	2.8	1/500
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	800	4	1/250
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	1600	4	1/500
портрет	человек или предмет	на улице	утро / день	Пасмурно	Пасмурно	3200	Пленка не подходит для съемки утром или днем	
портрет	человек или предмет	на улице	утро / день	Тень	Тень	50	2	1/125
портрет	человек или предмет	на улице	утро / день	Тень	Тень	100	2	1/250
портрет	человек или предмет	на улице	утро / день	Тень	Тень	100	2.8	1/125
портрет	человек или предмет	на улице	утро / день	Тень	Тень	160	2	1/500
портрет	человек или предмет	на улице	утро / день	Тень	Тень	200	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Тень	Тень	400	4	1/125
портрет	человек или предмет	на улице	утро / день	Тень	Тень	200	2	1/500
портрет	человек или предмет	на улице	утро / день	Тень	Тень	400	2.8	1/250
портрет	человек или предмет	на улице	утро / день	Тень	Тень	800	4	1/125
портрет	человек или предмет	на улице	утро / день	Тень	Тень	400	2.8	1/500
портрет	человек или предмет	на улице	утро / день	Тень	Тень	400	4	1/250
портрет	человек или предмет	на улице	утро / день	Тень	Тень	800	4	1/500
портрет	человек или предмет	на улице	утро / день	Тень	Тень	1600	Пленка не подходит для съемки утром или днем	
портрет	человек или предмет	на улице	утро / день	Тень	Тень	3200	Пленка не подходит для съемки утром или днем	